uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
1,Analgesics,Narcotics and Narcotic Antagonists,,,Alfentanil,Hepatic,1-3/No data,88-95,0.3-1,,,,Anesthetic induction 8-40 &#181;g/kg,,D,Anesthetic induction 8-40 &#181;g/kg,100% [A],100% [A],100% [A],100% [A],IHD: Not applicable ,PD: Not applicable,"CRRT: Dose for GFR 10-50, titrate, [D]","Chauvin M, Lebrault C, Levron JC, Duvaldestin P. Pharmacokinetics of alfentanil in chronic renal failure. Anesth Analg. 1987; 66: 53-6. [PMID: 3099599] / Mather LE. Opioid pharmacokinetics in relation to their effects. Anaesth Intensive Care. 1987; 15: 15-22. [PMID: 2882700] / Meistelman C, Saint-Maurice C, Lepaul M, Levron JC, Loose JP, Mac Gee K. A comparison of alfentanil pharmacokinetics in children and adults. Anesthesiology. 1987; 66: 13-6. [PMID: 3099603] / Persson MP, Nilsson A, Hartvig P. Pharmacokinetics of alfentanil in total i.v. anaesthesia. Br J Anaesth. 1988; 60: 755-61. [PMID: 3134933] / Scholz J, Steinfath M, Schulz M. Clinical pharmacokinetics of alfentanil, fentanyl and sufentanil. An update. Clin Pharmacokinet. 1996; 31: 275-92. [PMID: 8896944] / Sitar DS, Duke PC, Benthuysen JL, Sanford TJ, Smith NT. Aging and alfentanil disposition in healthy volunteers and surgical patients. Can J Anaesth. 1989; 36: 149-54. [PMID: 2495860] / Stanski DR. Narcotic pharmacokinetics and dynamics: the basis of infusion applications. Anaesth Intensive Care. 1987; 15: 23-6. [PMID: 2882701] / Van Peer A, Levron JC, Noorduin H, Heykants J. Overview of the clinical pharmacokinetics of alfentanil. Acta Anaesthesiol Belg. 1984; 35 Suppl: 261-3. [PMID: 6440399] / Van Peer A, Vercauteren M, Noorduin H, Woestenborghs R, Heykants J. Alfentanil kinetics in renal insufficiency. Eur J Clin Pharmacol. 1986; 30: 245-7. [PMID: 3086106] / Waud BE, Waud DR. Dose-response curves and pharmacokinetics. Anesthesiology. 1986; 65: 355-8. [PMID: 3094406]",
2,Analgesics,Narcotics and Narcotic Antagonists,,,Butorphanol,Hepatic,2-4/No data,80,9-11,,,,2 mg q3-4h,,D,2 mg q3-4h,100% [D],75% [D],75% [D],50% [D],IHD: No data ,PD: No data,"CRRT: Dose for GFR 10-50, titrate, [D]","Gillis JC, Benfield P, Goa KL. Transnasal butorphanol. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in acute pain management. Drugs. 1995; 50: 157-75. [PMID: 7588085] / Ramsey R, Higbee M, Maesner J, et al. Influence of age on the pharmacokinetics of butorphanol. Pharmacol Toxicol. 1987; 60(Suppl 2): 8-16. [PMID unavailable]",
3,Analgesics,Narcotics and Narcotic Antagonists,,,Codeine,Hepatic,2.5-3.5/No data,7,3-4,,,,30-60 mg q4-6h,,D,30-60 mg q4-6h,100% [D],75% [D],75% [D],50% [D],IHD: No data ,PD: No data,"CRRT: Dose for GFR 10-50, titrate, [D]","Davies G, Kingswood C, Street M. Pharmacokinetics of opioids in renal dysfunction. Clin Pharmacokinet. 1996; 31: 410-22. [PMID: 8968655] / Elseviers MM, De Broe ME. Combination analgesic involvement in the pathogenesis of analgesic nephropathy: the European perspective. Am J Kidney Dis. 1996; 28: S48-55. [PMID: 8669430] / Quiding H, Anderson P, Bondesson U, Bor&#233; us LO, Hynning PA. Plasma concentrations of codeine and its metabolite, morphine, after single and repeated oral administration. Eur J Clin Pharmacol. 1986; 30: 673-7. [PMID: 3770062]",
4,Analgesics,Narcotics and Narcotic Antagonists,,,Fentanyl,Hepatic,2-7/No data,80-84,2-4,,,,Anesthetic induction (individualized),,D,Anesthetic induction (individualized),100% [D],75% [D],75% [D],50% [D],IHD: Not applicable ,PD: Not applicable,"CRRT: Dose for GFR 10-50, titrate, [B]","Cleary JF. Pharmacokinetic and pharmacodynamic issues in the treatment of breakthrough pain. Semin Oncol. 1997; 24: S16-13-9. [PMID: 9381223] / Davies G, Kingswood C, Street M. Pharmacokinetics of opioids in renal dysfunction. Clin Pharmacokinet. 1996; 31: 410-22. [PMID: 8968655] / Reilly CS, Wood AJ, Wood M. Variability of fentanyl pharmacokinetics in man. Computer predicted plasma concentrations for three intravenous dosage regimens. Anaesthesia. 1985; 40: 837-43. [PMID: 4051149] / Wagner BK, O&#146; Hara DA. Pharmacokinetics and pharmacodynamics of sedatives and analgesics in the treatment of agitated critically ill patients. Clin Pharmacokinet. 1997; 33: 426-53. [PMID: 9435992]",
5,Analgesics,Narcotics and Narcotic Antagonists,,,Meperidine,Hepatic,2-7/7-32,70,4-5,,,,50-100 mg q3-4h,,D,50-100 mg q3-4h,100% [D],75% [D],75% [D],50% [D],IHD: Avoid ,PD: Avoid ,"CRRT: Avoid, [D]","Clark RF, Wei EM, Anderson PO. Meperidine: therapeutic use and toxicity. J Emerg Med. 1995; 13: 797-802. [PMID: 8747629] / Davies G, Kingswood C, Street M. Pharmacokinetics of opioids in renal dysfunction. Clin Pharmacokinet. 1996; 31: 410-22. [PMID: 8968655] / Sj&#246; str&#246; m S, Hartvig P, Persson MP, Tamsen A. Pharmacokinetics of epidural morphine and meperidine in humans. Anesthesiology. 1987; 67: 877-88. [PMID: 2891328] / Sj&#246; str&#246; m S, Tamsen A, Persson MP, Hartvig P. Pharmacokinetics of intrathecal morphine and meperidine in humans. Anesthesiology. 1987; 67: 889-95. [PMID: 2891329]","Normeperidine, an active metabolite, accumulates in ESRD and may cause seizures. Protein binding is reduced in ESRD. 20-25% excreted unchanged in acidic urine."
6,Analgesics,Narcotics and Narcotic Antagonists,,,Methadone,Hepatic,13-58/No data,60-90,3-6,,,,2.5-10 mg q6-8h,,D,2.5-10 mg q6-8h,100% [D],100% [D],100% [D],50-75% [D],IHD: None ,PD: None ,"CRRT: Dose for GFR 10-50, titrate, [D]","Bertschy G. Methadone maintenance treatment: an update. Eur Arch Psychiatry Clin Neurosci. 1995; 245: 114-24. [PMID: 7654787] / Inturrisi CE, Colburn WA, Kaiko RF, Houde RW, Foley KM. Pharmacokinetics and pharmacodynamics of methadone in patients with chronic pain. Clin Pharmacol Ther. 1987; 41: 392-401. [PMID: 3829576] / Quinn DI, Wodak A, Day RO. Pharmacokinetic and pharmacodynamic principles of illicit drug use and treatment of illicit drug users. Clin Pharmacokinet. 1997; 33: 344-400. [PMID: 9391747] / S&#246; we J. High-dose morphine and methadone in cancer patients. Clinical pharmacokinetic considerations of oral treatment. Clin Pharmacokinet. 1986; 11: 87-106. [PMID: 3514045]",
7,Analgesics,Narcotics and Narcotic Antagonists,,,Morphine,Hepatic,1-4/Unchanged,20-30,3.5,,,,20-25 mg q4h,,D,20-25 mg q4h,100% [A],75% [A],75% [A],50% [A],IHD: None ,PD: No data,"CRRT: Dose for GFR 10-50, titrate, [B]","Benyhe S. Morphine: new aspects in the study of an ancient compound. Life Sci. 1994; 55: 969-79. [PMID: 8084213] / Chauvin M, Sandouk P, Scherrmann JM, Farinotti R, Strumza P, Duvaldestin P. Morphine pharmacokinetics in renal failure. Anesthesiology. 1987; 66: 327-31. [PMID: 3826690] / Davies G, Kingswood C, Street M. Pharmacokinetics of opioids in renal dysfunction. Clin Pharmacokinet. 1996; 31: 410-22. [PMID: 8968655] / Jamal JA, Joh J, Bastani B. Removal of morphine with the new high-efficiency and high-flux membranes during haemofiltration and haemodialfiltration. Nephrol Dial Transplant. 1998; 13: 1535-7. [PMID: 9641188] / Rushton AR, Sneyd JR. Opioid analgesics. Br J Hosp Med. 1997; 57: 105-6. [PMID: 9196589] / S&#246; we J. High-dose morphine and methadone in cancer patients. Clinical pharmacokinetic considerations of oral treatment. Clin Pharmacokinet. 1986; 11: 87-106. [PMID: 3514045] / Sj&#246; str&#246; m S, Hartvig P, Persson MP, Tamsen A. Pharmacokinetics of epidural morphine and meperidine in humans. Anesthesiology. 1987; 67: 877-88. [PMID: 2891328] / Upton RN, Semple TJ, Macintyre PE. Pharmacokinetic optimisation of opioid treatment in acute pain therapy. Clin Pharmacokinet. 1997; 33: 225-44. [PMID: 9314613] / Wagner BK, O&#146; Hara DA. Pharmacokinetics and pharmacodynamics of sedatives and analgesics in the treatment of agitated critically ill patients. Clin Pharmacokinet. 1997; 33: 426-53. [PMID: 9435992]",Increased sensitivity to drug effect in ESRD.
8,Analgesics,Narcotics and Narcotic Antagonists,,,Naloxone,Hepatic,1.0-1.5/No data,54,3,,,,2 mg IV ,,D,2 mg IV ,100% [D],100% [D],100% [D],100% [D],IHD: Not applicable ,PD: Not applicable,"CRRT: Dose for GFR 10-50, [D]","Bowden CA, Krenzelok EP. Clinical applications of commonly used contemporary antidotes. A US perspective. Drug Saf. 1997; 16: 9-47. [PMID: 9010641] / Cherny NI. Opioid analgesics: comparative features and prescribing guidelines. Drugs. 1996; 51: 713-37. [PMID: 8861543]",
9,Analgesics,Narcotics and Narcotic Antagonists,,,Pentazocine,Hepatic,2-5/No data,50-75,5,,,,50 mg q4h,,D,50 mg q4h,100% [D],75% [D],75% [D],50% [D],IHD: None ,PD: No data,"CRRT: Not applicable, [D] ","Forycki Z, Martens F, Thalhofer S, Ibe K. Tranquilizers, analgetics and antidepressants in patients treated with hemodialysis. Blood Purif. 1985; 3: 109-19. [PMID: 2869770] / Mather LE. Opioid pharmacokinetics in relation to their effects. Anaesth Intensive Care. 1987; 15: 15-22. [PMID: 2882700] / Yeh SY, Todd GD, Johnson RE, Gorodetzky CW, Lange WR. The pharmacokinetics of pentazocine and tripelennamine. Clin Pharmacol Ther. 1986; 39: 669-76. [PMID: 3709032]",
10,Analgesics,Narcotics and Narcotic Antagonists,,,Propoxyphene,Hepatic,9-15/12-20,78,16,,,,65 mg PO q6-8h,,D,65 mg PO q6-8h,100% [D],100% [D],100% [D],Avoid [D],IHD: Avoid ,PD: Avoid ,"CRRT: Avoid, [D]","Colburn WA, Inturrisi CE. D-Propoxyphene: accumulation or altered kinetics? [Letter]. Eur J Clin Pharmacol. 1985; 28: 725-6. [PMID: 4065198]",Active metabolite norpropoxyphene accumulates in ESRD.
